Country Name,2024
Aruba,
Africa Eastern and Southern,1575.408338
Afghanistan,
Africa Western and Central,1421.568965
Angola,2220
Albania,8690
Andorra,48870
Arab World,7568.393369
United Arab Emirates,49500
Argentina,13440
Armenia,7780
American Samoa,
Antigua and Barbuda,21380
Australia,62550
Austria,54160
Azerbaijan,7310
Burundi,190
Belgium,54840
Benin,1430
Burkina Faso,880
Bangladesh,2820
Bulgaria,15320
Bahrain,28810
"Bahamas, The",
Bosnia and Herzegovina,8630
Belarus,8240
Belize,7640
Bermuda,140280
Bolivia,3690
Brazil,9950
Barbados,23660
Brunei Darussalam,36150
Bhutan,
Botswana,7750
Central African Rep.,520
Canada,53340
Central Europe and the Baltics,21764.74318
Switzerland,95900
Channel Islands,
Chile,15750
China,13660
Côte d'Ivoire,2510
Cameroon,1680
"Dem. Rep. Congo",640
Congo,2410
Colombia,7040
Comoros,1690
Cabo Verde,5000
Costa Rica,15620
Caribbean small states,17870.02968
Cuba,
Curacao,
Cayman Islands,
Cyprus,32980
Czechia,29140
Germany,54960
Djibouti,3540
Dominica,10220
Denmark,73790
Dominican Rep.,10280
Algeria,5320
East Asia & Pacific (excluding high income),10629.70235
Early-demographic dividend,4372.523813
East Asia & Pacific,13725.5367
Europe & Central Asia (excluding high income),8565.039297
Europe & Central Asia,29795.83395
Ecuador,6430
Egypt,3510
Euro area,44549.42931
Eritrea,
Spain,33410
Estonia,28700
Ethiopia,
European Union,40966.56901
Fragile and conflict affected situations,1693.799375
Finland,51710
Fiji,5680
France,45180
Faroe Islands,
"Micronesia, Fed. Sts.",4250
Gabon,7550
United Kingdom,48610
Georgia,8200
Ghana,2320
Gibraltar,
Guinea,1470
"Gambia, The",890
Guinea-Bissau,960
Equatorial Guinea,4740
Greece,23030
Grenada,10550
Greenland,
Guatemala,5780
Guam,
Guyana,20220
High income,49300.85944
"Hong Kong SAR, China",57100
Honduras,3020
Heavily indebted poor countries (HIPC),1157.84217
Croatia,22080
Haiti,1760
Hungary,20690
IBRD only,8165.987941
IDA & IBRD total,6285.333404
IDA total,1476.159152
IDA blend,1654.007736
Indonesia,4910
IDA only,1381.342655
Isle of Man,
India,2650
Not classified,
Ireland,77920
Iran,4660
Iraq,6030
Iceland,78480
Israel,52940
Italy,38290
Jamaica,6490
Jordan,4430
Japan,36030
Kazakhstan,12150
Kenya,2110
Kyrgyzstan,2150
Cambodia,2520
Kiribati,3620
St. Kitts and Nevis,22310
"Korea, Rep.",
Kuwait,40250
Latin America & Caribbean (excluding high income),9610.243602
Laos,2000
Lebanon,
Liberia,760
Libya,6310
St. Lucia,12800
Latin America & Caribbean,10194.21091
Least developed countries: UN classification,1288.917712
Low income,690.6361492
Liechtenstein,
Sri Lanka,3860
Lower middle income,2524.249721
Low & middle income,5937.955846
Lesotho,1170
Late-demographic dividend,12797.31809
Lithuania,26950
Luxembourg,91470
Latvia,21930
"Macao SAR, China",
St. Martin (French part),
Morocco,3760
Monaco,
Moldova,6940
Madagascar,510
Maldives,11650
"Middle East, North Africa, Afghanistan & Pakistan",6174.093961
Mexico,12800
Marshall Islands,8380
Middle income,6489.19784
North Macedonia,8360
Mali,1020
Malta,34660
Myanmar,1220
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2846.641594
Montenegro,12020
Mongolia,5350
Northern Mariana Islands,
Mozambique,550
Mauritania,2090
Mauritius,12850
Malawi,540
Malaysia,11670
North America,80391.378
Namibia,4240
New Caledonia,
Niger,660
Nigeria,1250
Nicaragua,2510
Netherlands,62840
Norway,98280
Nepal,1470
Nauru,21260
New Zealand,46280
OECD members,47045.46342
Oman,19280
Other small states,14750.92655
Pakistan,1430
Panama,17960
Peru,7490
Philippines,4470
Palau,
Papua New Guinea,2940
Poland,21560
Pre-demographic dividend,1334.144388
Puerto Rico,25930
"Korea, Dem. People's Rep.",
Portugal,26620
Paraguay,6290
West Bank and Gaza,3080
Pacific island small states,4331.196576
Post-demographic dividend,54694.14025
French Polynesia,
Qatar,76720
Romania,17600
Russia,15320
Rwanda,1040
South Asia,2662.611904
Saudi Arabia,35570
Sudan,720
Senegal,1680
Singapore,74750
Solomon Islands,2080
Sierra Leone,840
El Salvador,5120
San Marino,
Somalia,600
Serbia,11570
Sub-Saharan Africa (excluding high income),1534.872483
South Sudan,
Sub-Saharan Africa,1513.236216
Small states,14036.46676
Sao Tome and Principe,2770
Suriname,5870
Slovak Republic,23900
Slovenia,31640
Sweden,58820
Eswatini,3580
Sint Maarten (Dutch part),
Seychelles,17460
Syrian Arab Republic,
Turks and Caicos Islands,
Chad,970
East Asia & Pacific (IDA & IBRD countries),10749.508
Europe & Central Asia (IDA & IBRD countries),12369.28688
Togo,1010
Thailand,7120
Tajikistan,1650
Turkmenistan,8390
Latin America & the Caribbean (IDA & IBRD countries),10059.75981
Timor-Leste,1560
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2844.959435
Tonga,
South Asia (IDA & IBRD),2662.611904
Sub-Saharan Africa (IDA & IBRD countries),1513.236216
Trinidad and Tobago,20000
Tunisia,3900
Turkey,13150
Tuvalu,
Tanzania,1200
Uganda,1020
Ukraine,5220
Upper middle income,10880.41404
Uruguay,21580
United States of America,83660
Uzbekistan,3020
St. Vincent and the Grenadines,11020
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,4490
Vanuatu,3940
World,13439.21748
Samoa,4650
Kosovo,7180
"Yemen, Rep.",
South Africa,6100
Zambia,1260
Zimbabwe,2260
