State/territory,Area,Earners,Median Income,Total Income
New South Wales,Capital Region,152957,53266,10030535935
New South Wales,Central Coast,210360,50652,13532692341
New South Wales,Central West,128829,52426,8211227676
New South Wales,Coffs Harbour - Grafton,86878,43537,4660026916
New South Wales,Far West and Orana,68243,52961,4339047539
New South Wales,Hunter Valley exc Newcastle,176979,52472,11527901705
New South Wales,Illawarra,194315,54655,13445271385
New South Wales,Mid North Coast,128424,42059,6695673259
New South Wales,Murray,79440,49761,4700827697
New South Wales,New England and North West,110735,49145,6522896916
New South Wales,Newcastle and Lake Macquarie,245356,55659,17037316075
New South Wales,Richmond - Tweed,160449,42881,9014546632
New South Wales,Riverina,104067,53075,6472110144
New South Wales,Southern Highlands and Shoalhaven,95774,46401,5978251970
New South Wales,Sydney - Baulkham Hills and Hawkesbury,180410,63673,15696790115
New South Wales,Sydney - Blacktown,246587,58578,16497113447
New South Wales,Sydney - City and Inner South,252236,65262,23399683291
New South Wales,Sydney - Eastern Suburbs,192854,73183,25673592358
New South Wales,Sydney - Inner South West,368644,48907,23231930727
New South Wales,Sydney - Inner West,215427,62940,19616201189
New South Wales,Sydney - North Sydney and Hornsby,304045,71834,36159039975
New South Wales,Sydney - Northern Beaches,190553,64519,20099753916
New South Wales,Sydney - Outer South West,181528,56418,11821514446
New South Wales,Sydney - Outer West and Blue Mountains,207639,58001,13876484368
New South Wales,Sydney - Parramatta,303669,50297,19025443130
New South Wales,Sydney - Ryde,140344,61022,12279972960
New South Wales,Sydney - South West,258873,50523,15463672684
New South Wales,Sydney - Sutherland,156004,64610,13222514417
Victoria,Ballarat,105416,50725,6597698865
Victoria,Bendigo,103587,51392,6467100731
Victoria,Geelong,210067,54143,14380342842
Victoria,Hume,116930,49603,6866779319
Victoria,Latrobe - Gippsland,180437,47075,10506874943
Victoria,Melbourne - Inner,468460,65472,43717342564
Victoria,Melbourne - Inner East,261070,56146,23948492513
Victoria,Melbourne - Inner South,295052,64999,28671056011
Victoria,Melbourne - North East,345325,56949,24204118802
Victoria,Melbourne - North West,254681,54183,16660169225
Victoria,Melbourne - Outer East,343217,55405,23508368270
Victoria,Melbourne - South East,544680,51587,34217503659
Victoria,Melbourne - West,535557,55017,35072177571
Victoria,Mornington Peninsula,194672,52448,13453488037
Victoria,North West,98135,47364,5550078410
Victoria,Shepparton,84847,48016,4777522837
Victoria,Warrnambool and South West,83285,49740,4983517191
Queensland,Brisbane - East,157958,58671,11370362768
Queensland,Brisbane - North,153226,62139,11328858285
Queensland,Brisbane - South,255305,56683,18297913608
Queensland,Brisbane - West,128653,64085,11348819049
Queensland,Brisbane Inner City,222589,66000,21520570405
Queensland,Cairns,168232,49187,9911106654
Queensland,Darling Downs - Maranoa,80091,46810,4480823860
Queensland,Central Queensland,143242,58155,10262263854
Queensland,Gold Coast,437837,50843,29872881956
Queensland,Ipswich,221880,54095,13367478996
Queensland,Logan - Beaudesert,218701,52194,12725492450
Queensland,Mackay - Isaac - Whitsunday,121720,60193,9154247762
Queensland,Moreton Bay - North,159231,49994,9315159205
Queensland,Moreton Bay - South,143852,59021,9956951245
Queensland,Queensland - Outback,47075,56558,3178924154
Queensland,Sunshine Coast,270981,48779,17292981618
Queensland,Toowoomba,102918,53261,6482617131
Queensland,Townsville,150476,58031,10120262233
Queensland,Wide Bay,172950,43207,9028066625
South Australia,Adelaide - Central and Hills,215883,57789,17352848395
South Australia,Adelaide - North,272260,52300,15697185606
South Australia,Adelaide - South,241380,55167,15948978495
South Australia,Adelaide - West,159494,56127,10519229317
South Australia,Barossa - Yorke - Mid North,67326,48764,3947105685
South Australia,South Australia - Outback,48266,52922,3080360121
South Australia,South Australia - South East,118353,45628,6395676185
Western Australia,Bunbury,127966,51687,8537017322
Western Australia,Mandurah,66482,52417,4715040432
Western Australia,Perth - Inner,138369,69194,17028813092
Western Australia,Perth - North East,185968,60046,13369397160
Western Australia,Perth - North West,394467,60482,30169406949
Western Australia,Perth - South East,354972,58166,25485119522
Western Australia,Perth - South West,300888,61836,23800422970
Western Australia,Western Australia - Wheat Belt,91558,50353,5867079257
Western Australia,Western Australia - Outback (North),54473,72649,4680233924
Western Australia,Western Australia - Outback (South),76315,59816,5649276279
Tasmania,Hobart,159960,53324,10344525471
Tasmania,Launceston and North East,93218,49247,5523145590
Tasmania,South East,25061,44634,1313870228
Tasmania,West and North West,69342,48888,3962820248
Northern Territory,Darwin,101539,69156,7893177339
Northern Territory,Northern Territory - Outback,42916,56499,2797417513
Australian Capital Territory,Australian Capital Territory,321847,72122,27219898154
