,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory
1/08/1987, 394.0 , 373.0 , 363.0 , 371.0 , 379.0 , 357.0 , 441.0 , 464.0 
1/08/1988, 412.0 , 400.0 , 386.0 , 387.0 , 411.0 , 392.0 , 442.0 , 487.0 
1/08/1989, 420.0 , 420.0 , 420.0 , 420.0 , 460.0 , 420.0 , 500.0 , 540.0 
1/08/1990, 460.0 , 460.0 , 420.0 , 460.0 , 460.0 , 460.0 , 500.0 , 540.0 
1/07/1991,-,-,-,-,-,-,-,-
1/08/1992, 500.0 , 500.0 , 500.0 , 500.0 , 500.0 , 500.0 , 540.0 , 580.0 
1/08/1993, 540.0 , 540.0 , 500.0 , 500.0 , 540.0 , 500.0 , 540.0 , 620.0 
1/08/1994, 540.0 , 540.0 , 500.0 , 540.0 , 540.0 , 500.0 , 580.0 , 620.0 
1/08/1995, 580.0 , 540.0 , 540.0 , 540.0 , 540.0 , 540.0 , 540.0 , 660.0 
1/08/1996,-,-,-,-,-,-,-,-
1/08/1997, 600.0 , 600.0 , 590.0 , 585.0 , 600.0 , 560.0 , 650.0 , 716.6 
1/08/1998, 649.4 , 600.0 , 600.0 , 580.0 , 601.0 , 575.0 , 660.3 , 750.0 
1/08/1999, 689.2 , 650.0 , 600.0 , 610.0 , 686.5 , 596.3 , 695.1 , 756.4 
1/08/2000, 700.0 , 700.0 , 650.0 , 650.0 , 685.0 , 625.4 , 749.6 , 846.0 
1/08/2001, 740.0 , 700.0 , 675.0 , 690.0 , 700.0 , 650.0 , 708.5 , 828.2 
1/08/2002, 760.0 , 742.0 , 700.0 , 700.0 , 750.0 , 667.1 , 782.5 , 864.9 
1/08/2003, 800.0 , 769.0 , 731.6 , 745.5 , 788.5 , 700.0 , 750.0 , 903.9 
1/08/2004, 811.1 , 800.0 , 750.0 , 750.0 , 800.0 , 734.7 , 850.0 , 955.7 
1/08/2005, 865.0 , 848.0 , 800.0 , 800.0 , 850.0 , 750.0 , 850.0 ," 1,000.0 "
1/08/2006, 900.0 , 897.0 , 849.6 , 850.0 , 900.0 , 807.0 , 900.0 ," 1,059.9 "
1/08/2007, 957.5 , 923.3 , 900.0 , 900.0 , 999.5 , 808.0 , 962.8 ," 1,200.0 "
1/08/2008," 1,000.0 ", 958.0 , 961.0 , 900.0 ," 1,053.4 ", 867.1 ," 1,000.0 "," 1,194.7 "
1/08/2009," 1,025.5 "," 1,000.0 "," 1,000.0 ", 966.0 ," 1,100.0 ", 925.4 ," 1,100.0 "," 1,230.7 "
1/08/2010," 1,078.2 "," 1,005.0 "," 1,023.6 ", 995.0 ," 1,200.0 ", 950.0 ," 1,100.0 "," 1,250.0 "
1/08/2011," 1,100.0 "," 1,050.0 "," 1,100.0 "," 1,000.0 "," 1,200.0 "," 1,000.0 "," 1,129.8 "," 1,269.1 "
1/08/2012," 1,150.0 "," 1,100.0 "," 1,116.6 "," 1,080.0 "," 1,300.0 "," 1,008.3 "," 1,196.2 "," 1,384.6 "
1/08/2013," 1,157.0 "," 1,100.0 "," 1,140.0 "," 1,100.0 "," 1,300.0 "," 1,016.0 "," 1,300.0 "," 1,426.3 "
1/08/2014," 1,250.0 "," 1,175.5 "," 1,189.0 "," 1,140.0 "," 1,400.0 "," 1,057.4 "," 1,380.0 "," 1,461.1 "
1/08/2015," 1,250.0 "," 1,199.0 "," 1,200.0 "," 1,175.0 "," 1,350.0 "," 1,100.0 "," 1,250.0 "," 1,500.0 "
1/08/2016," 1,250.0 "," 1,246.0 "," 1,200.0 "," 1,200.0 "," 1,380.0 "," 1,150.0 "," 1,378.1 "," 1,498.8 "
1/08/2017," 1,281.0 "," 1,250.0 "," 1,250.0 "," 1,189.0 "," 1,415.7 "," 1,184.9 "," 1,362.4 "," 1,500.0 "
1/08/2018," 1,358.6 "," 1,300.0 "," 1,300.0 "," 1,244.5 "," 1,479.8 "," 1,203.9 "," 1,350.0 "," 1,529.0 "
1/08/2019," 1,400.0 "," 1,342.0 "," 1,300.0 "," 1,252.0 "," 1,500.0 "," 1,265.1 "," 1,400.0 "," 1,551.8 "
1/08/2020," 1,425.0 "," 1,426.2 "," 1,353.3 "," 1,289.0 "," 1,634.0 "," 1,300.0 "," 1,500.0 "," 1,650.0 "
1/08/2021," 1,500.0 "," 1,477.0 "," 1,400.0 "," 1,386.0 "," 1,555.0 "," 1,292.6 "," 1,559.6 "," 1,726.0 "
1/08/2022," 1,500.0 "," 1,525.3 "," 1,500.0 "," 1,400.0 "," 1,649.0 "," 1,355.0 "," 1,577.2 "," 1,753.7 "
1/08/2023," 1,622.3 "," 1,600.0 "," 1,546.7 "," 1,500.0 "," 1,700.0 "," 1,497.4 "," 1,586.9 "," 1,750.0 "
1/08/2024," 1,700.0 "," 1,729.0 "," 1,657.0 "," 1,520.0 "," 1,842.0 "," 1,480.1 "," 1,700.0 "," 1,927.3 "
