Survey month,State and territory,Leave entitlements,Industry,Male,Female
Aug-24,Australia,Total employees,"Agriculture, forestry and fishing",32.1,31.3
Aug-24,Australia,Total employees,Mining,59.0,60.0
Aug-24,Australia,Total employees,Manufacturing,39.5,32.9
Aug-24,Australia,Total employees,"Electricity, gas, water and waste services",50.0,47.3
Aug-24,Australia,Total employees,Construction,39.2,37.2
Aug-24,Australia,Total employees,Wholesale trade,41.8,38.5
Aug-24,Australia,Total employees,Retail trade,32.5,30.0
Aug-24,Australia,Total employees,Accommodation and food services,30.0,28.5
Aug-24,Australia,Total employees,"Transport, postal and warehousing",41.1,38.3
Aug-24,Australia,Total employees,Information Media and telecommunications,52.6,43.2
Aug-24,Australia,Total employees,Financial and insurance services,55.3,44.0
Aug-24,Australia,Total employees,"Rental, hiring and real estate services",42.5,36.2
Aug-24,Australia,Total employees,"Professional, scientific and technical services",57.7,47.1
Aug-24,Australia,Total employees,Administrative and support services,35.5,36.7
Aug-24,Australia,Total employees,Public administration and safety,50.0,50.0
Aug-24,Australia,Total employees,Education and training,53.9,46.5
Aug-24,Australia,Total employees,Health care and social assistance,43.8,40.9
Aug-24,Australia,Total employees,Arts and recreation services,40.0,35.0
Aug-24,Australia,Total employees,Other services,37.7,32.8
