age groups,Born 1947-1951,Born 1952-1956,Born 1957-1961,Born 1962-1966,Born 1967-1971,Born 1972-1976,Born 1977-1981,Born 1982-1986,Born 1987-1991,Born 1992-1996
25-29,53.00%,52.00%,50.50%,45.50%,42.00%,42.00%,42.00%,41.00%,37.50%,36.00%
30-34,68.00%,63.00%,57.50%,57.00%,55.00%,55.00%,51.00%,48.00%,48.00%,
35-39,70.00%,67.00%,65.00%,64.00%,63.00%,60.00%,56.00%,56.00%,,
40-44,72.00%,70.00%,68.50%,67.00%,63.00%,61.50%,61.00%,,,
45-49,75.00%,73.00%,72.00%,68.00%,65.00%,64.50%,,,,
50-54,75.50%,73.50%,71.50%,70.00%,69.00%,,,,,
55-59,76.00%,74.50%,72.00%,70.50%,,,,,,
60-64,76.00%,75.00%,74.50%,,,,,,,
65-69,76.00%,75.00%,,,,,,,,
70-74,76.00%,,,,,,,,,
