state,metro or regional,median income 2022
New South Wales,Greater Sydney,58206
New South Wales,Rest of NSW,50184
Victoria,Greater Melbourne,56399
Victoria,Rest of Vic.,49976
Queensland,Greater Brisbane,57106
Queensland,Rest of Qld,51282
South Australia,Greater Adelaide,54874
South Australia,Rest of SA,47814
Western Australia,Greater Perth,60360
Western Australia,Rest of WA,55480
Tasmania,Greater Hobart,53324
Tasmania,Rest of Tas.,48545
Northern Territory,Greater Darwin,69156
Northern Territory,Rest of NT,56499
